osmid,y,x,street_count,highway,geometry
259150777,46.7579272,23.5627813,3,,POINT (23.5627813 46.7579272)
262941773,46.7668372,23.5811938,4,,POINT (23.5811938 46.7668372)
262941810,46.7692607,23.585292,3,,POINT (23.585292 46.7692607)
262941893,46.7712407,23.5777712,3,,POINT (23.5777712 46.7712407)
262941942,46.7723801,23.5815225,3,,POINT (23.5815225 46.7723801)
262941949,46.7720206,23.5769116,3,,POINT (23.5769116 46.7720206)
262942216,46.7747745,23.5862332,3,,POINT (23.5862332 46.7747745)
262942292,46.7739603,23.5860427,3,,POINT (23.5860427 46.7739603)
262942913,46.7791424,23.5893775,3,,POINT (23.5893775 46.7791424)
262942917,46.7817915,23.590254,3,,POINT (23.590254 46.7817915)
262942918,46.7823743,23.5905284,3,,POINT (23.5905284 46.7823743)
262942919,46.7826462,23.5906194,4,,POINT (23.5906194 46.7826462)
262942920,46.7828831,23.5902789,3,,POINT (23.5902789 46.7828831)
262944081,46.7637529,23.6028818,3,,POINT (23.6028818 46.7637529)
262944099,46.761816,23.6059138,3,,POINT (23.6059138 46.761816)
262944260,46.757231,23.6085114,4,,POINT (23.6085114 46.757231)
262944323,46.7541028,23.6117763,4,,POINT (23.6117763 46.7541028)
262944507,46.7559088,23.6066184,3,,POINT (23.6066184 46.7559088)
262944613,46.7567563,23.6069735,3,,POINT (23.6069735 46.7567563)
262944676,46.7566149,23.6090691,3,,POINT (23.6090691 46.7566149)
262944777,46.7607995,23.6131024,3,,POINT (23.6131024 46.7607995)
262944857,46.7570314,23.6232501,3,,POINT (23.6232501 46.7570314)
262945163,46.7644915,23.6068663,3,,POINT (23.6068663 46.7644915)
262945614,46.7743273,23.6127947,4,,POINT (23.6127947 46.7743273)
262945762,46.7761778,23.6188723,3,,POINT (23.6188723 46.7761778)
262945842,46.7679262,23.6246212,3,,POINT (23.6246212 46.7679262)
262945848,46.7686466,23.6194233,3,,POINT (23.6194233 46.7686466)
262945954,46.7689448,23.6176582,3,,POINT (23.6176582 46.7689448)
262946054,46.7694608,23.6130381,4,,POINT (23.6130381 46.7694608)
262946294,46.7754229,23.6139199,3,,POINT (23.6139199 46.7754229)
262946387,46.7757598,23.604325,3,,POINT (23.604325 46.7757598)
262946441,46.7731227,23.6061929,3,,POINT (23.6061929 46.7731227)
262946920,46.7656793,23.6107959,4,,POINT (23.6107959 46.7656793)
262947105,46.7503098,23.6394283,3,,POINT (23.6394283 46.7503098)
262947113,46.7528743,23.6324155,3,,POINT (23.6324155 46.7528743)
266116964,46.7711068,23.5691628,4,,POINT (23.5691628 46.7711068)
266116966,46.7719798,23.5767247,3,,POINT (23.5767247 46.7719798)
266158049,46.7830117,23.6386291,3,,POINT (23.6386291 46.7830117)
266158157,46.781807,23.6367302,3,,POINT (23.6367302 46.781807)
266158193,46.7819332,23.6396021,3,,POINT (23.6396021 46.7819332)
266158195,46.7819164,23.6413002,3,,POINT (23.6413002 46.7819164)
266158287,46.7566265,23.6040716,4,,POINT (23.6040716 46.7566265)
266158291,46.7518158,23.6048564,3,,POINT (23.6048564 46.7518158)
266158303,46.7539589,23.6067993,3,,POINT (23.6067993 46.7539589)
266939061,46.790906,23.5866015,4,,POINT (23.5866015 46.790906)
266939097,46.7866686,23.5828944,3,,POINT (23.5828944 46.7866686)
266939099,46.7894127,23.5816364,4,,POINT (23.5816364 46.7894127)
266939304,46.787832,23.5896347,3,,POINT (23.5896347 46.787832)
266939305,46.7874954,23.5881612,3,,POINT (23.5881612 46.7874954)
266939374,46.788494,23.5878539,4,,POINT (23.5878539 46.788494)
266939431,46.790387,23.584912,3,,POINT (23.584912 46.790387)
268026425,46.7598499,23.6044924,3,,POINT (23.6044924 46.7598499)
268026427,46.7583714,23.6052841,3,,POINT (23.6052841 46.7583714)
268026430,46.758753,23.6075694,3,,POINT (23.6075694 46.758753)
268026431,46.7597578,23.6033061,4,,POINT (23.6033061 46.7597578)
268026453,46.7546525,23.6033701,3,,POINT (23.6033701 46.7546525)
268026636,46.758919,23.6106986,4,,POINT (23.6106986 46.758919)
268026637,46.7593081,23.6100394,3,,POINT (23.6100394 46.7593081)
268081611,46.7575586,23.6056848,4,,POINT (23.6056848 46.7575586)
268081624,46.7617752,23.5994023,4,,POINT (23.5994023 46.7617752)
268081650,46.7608777,23.5982478,3,,POINT (23.5982478 46.7608777)
268081652,46.7610726,23.5978692,3,,POINT (23.5978692 46.7610726)
268081999,46.7813699,23.6623934,3,,POINT (23.6623934 46.7813699)
268082000,46.7821147,23.6633798,3,traffic_signals,POINT (23.6633798 46.7821147)
268082001,46.7791471,23.6663681,1,,POINT (23.6663681 46.7791471)
268215693,46.7836989,23.6151546,3,,POINT (23.6151546 46.7836989)
268215696,46.7826262,23.6160611,3,,POINT (23.6160611 46.7826262)
268215698,46.7815608,23.6171179,3,,POINT (23.6171179 46.7815608)
268215699,46.7821162,23.6190391,4,mini_roundabout,POINT (23.6190391 46.7821162)
268215707,46.7796377,23.6142047,3,,POINT (23.6142047 46.7796377)
268215723,46.7826894,23.6129966,4,,POINT (23.6129966 46.7826894)
268215744,46.7792151,23.6270316,4,,POINT (23.6270316 46.7792151)
268215745,46.778456,23.6221462,3,,POINT (23.6221462 46.778456)
