y,x,street_count,highway,ref,junction,geometry
25.0788517,121.5694496,4,traffic_signals,,,POINT (121.5694496 25.0788517)
25.0820889,121.5683844,4,traffic_signals,,,POINT (121.5683844 25.0820889)
25.0811459,121.5683379,4,traffic_signals,,,POINT (121.5683379 25.0811459)
25.0795348,121.569811,3,,,,POINT (121.569811 25.0795348)
25.0803529,121.5678836,4,traffic_signals,,,POINT (121.5678836 25.0803529)
25.0814148,121.5652567,4,traffic_signals,,,POINT (121.5652567 25.0814148)
25.0797285,121.5674893,4,traffic_signals,,,POINT (121.5674893 25.0797285)
25.0804175,121.5740981,3,,,,POINT (121.5740981 25.0804175)
25.0773405,121.5728286,4,traffic_signals,,,POINT (121.5728286 25.0773405)
25.0750602,121.5736362,3,,,,POINT (121.5736362 25.0750602)
25.0845461,121.6005135,4,traffic_signals,,,POINT (121.6005135 25.0845461)
25.0859246,121.6016712,3,,,,POINT (121.6016712 25.0859246)
25.0854754,121.6009911,3,,,,POINT (121.6009911 25.0854754)
25.078109,121.5665802,3,,,,POINT (121.5665802 25.078109)
25.0807376,121.5779064,4,traffic_signals,,,POINT (121.5779064 25.0807376)
25.0813636,121.5761544,3,,,,POINT (121.5761544 25.0813636)
25.0824908,121.5768496,3,,,,POINT (121.5768496 25.0824908)
25.0818664,121.5742764,4,,,,POINT (121.5742764 25.0818664)
25.0830039,121.5751359,3,,,,POINT (121.5751359 25.0830039)
25.0826505,121.5712895,3,,,,POINT (121.5712895 25.0826505)
25.0822227,121.5728965,3,,,,POINT (121.5728965 25.0822227)
25.0835662,121.5732629,3,traffic_signals,,,POINT (121.5732629 25.0835662)
25.0822523,121.572782,3,traffic_signals,,,POINT (121.572782 25.0822523)
25.0830949,121.5731343,3,,,,POINT (121.5731343 25.0830949)
25.0826428,121.5730111,3,,,,POINT (121.5730111 25.0826428)
25.0826186,121.5749387,3,,,,POINT (121.5749387 25.0826186)
25.0822076,121.5746561,3,,,,POINT (121.5746561 25.0822076)
25.0853329,121.5737757,5,traffic_signals,,,POINT (121.5737757 25.0853329)
25.0836335,121.573039,3,,,,POINT (121.573039 25.0836335)
25.0731285,121.5774609,3,,,,POINT (121.5774609 25.0731285)
25.0740772,121.5771372,3,,,,POINT (121.5771372 25.0740772)
25.0751111,121.5769318,4,traffic_signals,,,POINT (121.5769318 25.0751111)
25.076762,121.5801266,4,,,,POINT (121.5801266 25.076762)
25.0739022,121.5794901,3,,,,POINT (121.5794901 25.0739022)
25.0758664,121.5784156,3,,,,POINT (121.5784156 25.0758664)
25.0772541,121.5773663,3,,,,POINT (121.5773663 25.0772541)
25.0768388,121.5779098,3,,,,POINT (121.5779098 25.0768388)
25.0763929,121.5782821,3,,,,POINT (121.5782821 25.0763929)
25.0757162,121.5770686,3,,,,POINT (121.5770686 25.0757162)
25.0760285,121.5765652,3,,,,POINT (121.5765652 25.0760285)
25.0754093,121.5775201,3,,,,POINT (121.5775201 25.0754093)
25.0762396,121.5769167,3,,,,POINT (121.5769167 25.0762396)
25.0769286,121.5769756,3,,,,POINT (121.5769756 25.0769286)
25.0774344,121.5775895,4,,,,POINT (121.5775895 25.0774344)
25.0771717,121.5755038,3,,,,POINT (121.5755038 25.0771717)
25.0766709,121.5765334,4,,,,POINT (121.5765334 25.0766709)
25.0770514,121.578524,3,,,,POINT (121.578524 25.0770514)
25.0844318,121.5789937,3,traffic_signals,,,POINT (121.5789937 25.0844318)
25.0820687,121.5791917,4,,,,POINT (121.5791917 25.0820687)
25.0760607,121.5776971,3,,,,POINT (121.5776971 25.0760607)
25.0765071,121.5774173,3,,,,POINT (121.5774173 25.0765071)
25.0719631,121.5762713,3,,,,POINT (121.5762713 25.0719631)
25.0657882,121.6135315,2,,,,POINT (121.6135315 25.0657882)
25.0381548,121.5437649,4,traffic_signals,,,POINT (121.5437649 25.0381548)
25.0063784,121.5339764,3,,,,POINT (121.5339764 25.0063784)
25.0263657,121.5564626,3,traffic_signals,,,POINT (121.5564626 25.0263657)
25.0246169,121.5556966,3,,,,POINT (121.5556966 25.0246169)
25.0277763,121.5571122,4,,,,POINT (121.5571122 25.0277763)
25.0219702,121.5265741,3,,,,POINT (121.5265741 25.0219702)
25.0796797,121.5444891,5,traffic_signals,,,POINT (121.5444891 25.0796797)
25.0797782,121.5459616,3,,,,POINT (121.5459616 25.0797782)
25.0798336,121.5471344,4,traffic_signals,,,POINT (121.5471344 25.0798336)
25.0804735,121.5482125,4,traffic_signals,,,POINT (121.5482125 25.0804735)
25.0828709,121.5490628,4,traffic_signals,,,POINT (121.5490628 25.0828709)
25.0855568,121.550805,3,,,,POINT (121.550805 25.0855568)
25.0852353,121.5540884,3,traffic_signals,,,POINT (121.5540884 25.0852353)
25.084755,121.5584918,4,traffic_signals,,,POINT (121.5584918 25.084755)
25.1076926,121.5574736,4,,,,POINT (121.5574736 25.1076926)
24.9945114,121.5739035,3,,,,POINT (121.5739035 24.9945114)
25.0007836,121.5546069,4,traffic_signals,,,POINT (121.5546069 25.0007836)
25.004346,121.5567779,3,,,,POINT (121.5567779 25.004346)
25.1168566,121.583784,3,,,,POINT (121.583784 25.1168566)
25.1321062,121.5971661,3,,,,POINT (121.5971661 25.1321062)
25.136949,121.6028388,3,,,,POINT (121.6028388 25.136949)
25.1248727,121.5735415,3,,,,POINT (121.5735415 25.1248727)
25.1264948,121.5739203,3,,,,POINT (121.5739203 25.1264948)
25.1313609,121.5765877,3,,,,POINT (121.5765877 25.1313609)
25.1307667,121.5731049,3,,,,POINT (121.5731049 25.1307667)
25.139224,121.569914,3,,,,POINT (121.569914 25.139224)
25.140567,121.5679347,3,,,,POINT (121.5679347 25.140567)
25.1443276,121.5646799,3,,,,POINT (121.5646799 25.1443276)
25.143841,121.5573082,4,,,,POINT (121.5573082 25.143841)
25.1471394,121.5583947,3,,,,POINT (121.5583947 25.1471394)
