y,x,street_count,highway,junction,railway,ref,geometry
48.8446689,2.4057273,4,traffic_signals,,,,POINT (2.4057273 48.8446689)
48.8453024,2.3982497,3,,,,,POINT (2.3982497 48.8453024)
48.8411027,2.3989094,3,,,,,POINT (2.3989094 48.8411027)
48.8397327,2.3961444,3,,,,,POINT (2.3961444 48.8397327)
48.8353603,2.406596,4,,,,,POINT (2.406596 48.8353603)
48.8348528,2.4080632,4,,,,,POINT (2.4080632 48.8348528)
48.8333363,2.4057115,3,,,,,POINT (2.4057115 48.8333363)
48.8340006,2.4108114,3,,,,,POINT (2.4108114 48.8340006)
48.8343583,2.4113663,4,,,,,POINT (2.4113663 48.8343583)
48.8424248,2.3854014,3,,,,,POINT (2.3854014 48.8424248)
48.8394448,2.3945351,3,,,,,POINT (2.3945351 48.8394448)
48.8373028,2.3912033,4,traffic_signals,,,,POINT (2.3912033 48.8373028)
48.8357065,2.3861104,3,traffic_signals,,,,POINT (2.3861104 48.8357065)
48.8389062,2.3761486,4,,,,,POINT (2.3761486 48.8389062)
48.8375695,2.3736544,4,traffic_signals,,,,POINT (2.3736544 48.8375695)
48.8363672,2.3713523,4,traffic_signals,,,,POINT (2.3713523 48.8363672)
48.8526464,2.3522069,3,,,,,POINT (2.3522069 48.8526464)
48.851112,2.3513069,4,traffic_signals,,,,POINT (2.3513069 48.851112)
48.8573196,2.3492488,4,,,,,POINT (2.3492488 48.8573196)
48.8562782,2.3565953,2,traffic_signals,,,,POINT (2.3565953 48.8562782)
48.8546706,2.3627724,2,,,,,POINT (2.3627724 48.8546706)
48.8535418,2.3665458,1,,,,,POINT (2.3665458 48.8535418)
48.8523738,2.3604658,3,traffic_signals,,,,POINT (2.3604658 48.8523738)
48.8529093,2.3589713,3,,,,,POINT (2.3589713 48.8529093)
48.8533327,2.3578164,4,traffic_signals,,,,POINT (2.3578164 48.8533327)
48.8543758,2.3549444,4,traffic_signals,,,,POINT (2.3549444 48.8543758)
48.849976,2.354875,4,traffic_signals,,,,POINT (2.354875 48.849976)
48.8494029,2.3567895,4,traffic_signals,,,,POINT (2.3567895 48.8494029)
48.8496235,2.3560363,3,,,,,POINT (2.3560363 48.8496235)
48.8508102,2.3614294,4,traffic_signals,,,,POINT (2.3614294 48.8508102)
48.8589898,2.339848,3,,,,,POINT (2.339848 48.8589898)
48.8608967,2.3300717,4,traffic_signals,,,,POINT (2.3300717 48.8608967)
48.8637542,2.3320906,3,,,,,POINT (2.3320906 48.8637542)
48.8514647,2.3370565,4,traffic_signals,,,,POINT (2.3370565 48.8514647)
48.8513168,2.3357195,3,,,,,POINT (2.3357195 48.8513168)
48.8640695,2.3201059,5,,,,,POINT (2.3201059 48.8640695)
48.8646741,2.3136679,4,,,,,POINT (2.3136679 48.8646741)
48.8646107,2.3103421,4,,,,,POINT (2.3103421 48.8646107)
48.8625767,2.3104164,4,traffic_signals,,,,POINT (2.3104164 48.8625767)
48.8658652,2.3199152,5,,,,,POINT (2.3199152 48.8658652)
48.8666686,2.3219847,4,,,,,POINT (2.3219847 48.8666686)
48.8691428,2.3101251,3,,,,,POINT (2.3101251 48.8691428)
48.8542721,2.3054471,4,traffic_signals,,,,POINT (2.3054471 48.8542721)
48.858808,2.3034962,5,traffic_signals,,,,POINT (2.3034962 48.858808)
48.8598721,2.3008394,3,traffic_signals,,,,POINT (2.3008394 48.8598721)
48.8589324,2.2968652,3,,,,,POINT (2.2968652 48.8589324)
48.8633926,2.2875005,3,,,,,POINT (2.2875005 48.8633926)
48.8668087,2.289968,5,traffic_signals,,,,POINT (2.289968 48.8668087)
48.873247,2.2946509,3,,,,,POINT (2.2946509 48.873247)
48.8734652,2.2942797,3,,,,,POINT (2.2942797 48.8734652)
48.873743,2.2941461,3,,,,,POINT (2.2941461 48.873743)
48.8743576,2.2949396,3,,,,,POINT (2.2949396 48.8743576)
48.8743025,2.2954181,3,,,,,POINT (2.2954181 48.8743025)
48.8740905,2.2957798,3,,,,,POINT (2.2957798 48.8740905)
48.8738244,2.2959161,3,,,,,POINT (2.2959161 48.8738244)
48.8735254,2.2958314,3,,,,,POINT (2.2958314 48.8735254)
48.8731947,2.2951412,3,,,,,POINT (2.2951412 48.8731947)
48.8732951,2.2955389,3,,,,,POINT (2.2955389 48.8732951)
48.8777857,2.2980745,4,traffic_signals,,,,POINT (2.2980745 48.8777857)
48.879549,2.3049796,4,traffic_signals,,,,POINT (2.3049796 48.879549)
48.8723617,2.2994947,4,,,,,POINT (2.2994947 48.8723617)
48.8705216,2.3052862,4,,,,,POINT (2.3052862 48.8705216)
48.8244825,2.3678681,3,,,,,POINT (2.3678681 48.8244825)
48.8229124,2.3687123,4,traffic_signals,,,,POINT (2.3687123 48.8229124)
48.8215188,2.3694139,5,,,,,POINT (2.3694139 48.8215188)
48.8226528,2.3670649,3,crossing,,,,POINT (2.3670649 48.8226528)
48.8216311,2.369126,4,,,,,POINT (2.369126 48.8216311)
48.8284757,2.3729331,4,,,,,POINT (2.3729331 48.8284757)
48.8306422,2.3767516,4,,,,,POINT (2.3767516 48.8306422)
48.8327338,2.3747806,3,,,,,POINT (2.3747806 48.8327338)
48.833722,2.3824814,4,,,,,POINT (2.3824814 48.833722)
48.8322388,2.3797778,5,,,,,POINT (2.3797778 48.8322388)
48.8329781,2.3787715,3,,,,,POINT (2.3787715 48.8329781)
48.8344579,2.3731375,4,traffic_signals,,,,POINT (2.3731375 48.8344579)
48.835541,2.3721229,3,,,,,POINT (2.3721229 48.835541)
48.8362129,2.3714895,4,traffic_signals,,,,POINT (2.3714895 48.8362129)
48.833824,2.3650971,4,traffic_signals,,,,POINT (2.3650971 48.833824)
48.8321655,2.3676402,4,,,,,POINT (2.3676402 48.8321655)
48.8339797,2.3647847,4,,,,,POINT (2.3647847 48.8339797)
48.846846,2.3609481,3,,,,,POINT (2.3609481 48.846846)
48.852444,2.3570633,3,,,,,POINT (2.3570633 48.852444)
48.8530123,2.3552992,3,,,,,POINT (2.3552992 48.8530123)
48.853419,2.3540036,4,,,,,POINT (2.3540036 48.853419)
48.8528801,2.3533008,3,,,,,POINT (2.3533008 48.8528801)
48.8516311,2.3541599,3,,,,,POINT (2.3541599 48.8516311)
48.8513444,2.3552545,3,,,,,POINT (2.3552545 48.8513444)
48.8511377,2.3559179,4,,,,,POINT (2.3559179 48.8511377)
48.8505947,2.3575168,3,,,,,POINT (2.3575168 48.8505947)
48.8502611,2.3585159,3,,,,,POINT (2.3585159 48.8502611)
48.850081,2.3590296,3,,,,,POINT (2.3590296 48.850081)
48.8529217,2.3535281,3,,,,,POINT (2.3535281 48.8529217)
48.8518338,2.3565473,3,,,,,POINT (2.3565473 48.8518338)
48.8524483,2.354842,4,,,,,POINT (2.354842 48.8524483)
48.8520819,2.3558589,3,,,,,POINT (2.3558589 48.8520819)
48.8509679,2.3964579,3,,,,,POINT (2.3964579 48.8509679)
48.8504119,2.3925211,5,,,,,POINT (2.3925211 48.8504119)
48.8489668,2.3920084,5,traffic_signals,,,,POINT (2.3920084 48.8489668)
48.8480382,2.3928506,4,traffic_signals,,,,POINT (2.3928506 48.8480382)
48.8471465,2.3936715,4,,,,,POINT (2.3936715 48.8471465)
48.8489439,2.3955684,3,,,,,POINT (2.3955684 48.8489439)
48.8487905,2.3952373,3,,,,,POINT (2.3952373 48.8487905)
48.8485175,2.3950215,3,,,,,POINT (2.3950215 48.8485175)
48.8482871,2.3950103,3,,,,,POINT (2.3950103 48.8482871)
48.8481806,2.3967898,3,,,,,POINT (2.3967898 48.8481806)
48.8484383,2.396839,3,,,,,POINT (2.396839 48.8484383)
48.8487883,2.3966072,3,,,,,POINT (2.3966072 48.8487883)
48.8477806,2.3958129,3,traffic_signals,,,,POINT (2.3958129 48.8477806)
48.8489264,2.3985446,3,,,,,POINT (2.3985446 48.8489264)
48.8472878,2.3989257,4,,,,,POINT (2.3989257 48.8472878)
48.8395185,2.3961018,3,,,,,POINT (2.3961018 48.8395185)
48.8395897,2.3952009,3,,,,,POINT (2.3952009 48.8395897)
48.8388965,2.3974499,3,,,,,POINT (2.3974499 48.8388965)
48.8427115,2.3974913,4,traffic_signals,,,,POINT (2.3974913 48.8427115)
48.836057,2.3867648,2,,,,,POINT (2.3867648 48.836057)
48.8364877,2.3876847,2,,,,,POINT (2.3876847 48.8364877)
48.8462793,2.3774063,4,traffic_signals,,,,POINT (2.3774063 48.8462793)
48.847004,2.3837717,4,traffic_signals,,,,POINT (2.3837717 48.847004)
48.846772,2.3817132,4,traffic_signals,,,,POINT (2.3817132 48.846772)
48.864854,2.3533625,4,traffic_signals,,,,POINT (2.3533625 48.864854)
48.8638647,2.3490334,5,traffic_signals,,,,POINT (2.3490334 48.8638647)
48.8746674,2.3393461,4,,,,,POINT (2.3393461 48.8746674)
48.8706941,2.3325479,4,,,,,POINT (2.3325479 48.8706941)
48.8710793,2.3347861,4,,,,,POINT (2.3347861 48.8710793)
48.8716742,2.3382629,3,,,,,POINT (2.3382629 48.8716742)
48.8702993,2.332715,4,,,,,POINT (2.332715 48.8702993)
48.8700764,2.3325517,3,,,,,POINT (2.3325517 48.8700764)
48.8702083,2.3322293,4,traffic_signals,,,,POINT (2.3322293 48.8702083)
48.8706246,2.3320659,4,,,,,POINT (2.3320659 48.8706246)
48.8737442,2.327154,5,traffic_signals,,,,POINT (2.327154 48.8737442)
48.8748574,2.319874,4,traffic_signals,,,,POINT (2.319874 48.8748574)
48.8710733,2.3318505,3,,,,,POINT (2.3318505 48.8710733)
48.871156,2.332342,3,,,,,POINT (2.332342 48.871156)
48.8722064,2.3328034,4,,yes,,,POINT (2.3328034 48.8722064)
48.8702725,2.3300447,4,traffic_signals,,,,POINT (2.3300447 48.8702725)
48.8692553,2.3238967,3,,,,,POINT (2.3238967 48.8692553)
48.8687213,2.3331307,3,traffic_signals,,,,POINT (2.3331307 48.8687213)
48.819145,2.3594606,4,,,,,POINT (2.3594606 48.819145)
48.8210155,2.3506445,4,,,,,POINT (2.3506445 48.8210155)
48.8194879,2.3446021,4,,,,,POINT (2.3446021 48.8194879)
48.8213523,2.3343712,3,traffic_signals,,,,POINT (2.3343712 48.8213523)
48.8347063,2.3313128,4,traffic_signals,,,,POINT (2.3313128 48.8347063)
48.8597514,2.3768492,4,traffic_signals,,,,POINT (2.3768492 48.8597514)
48.8587156,2.378584,4,traffic_signals,,,,POINT (2.378584 48.8587156)
48.8533915,2.3794021,3,traffic_signals,,,,POINT (2.3794021 48.8533915)
48.8532743,2.3770075,3,traffic_signals,,,,POINT (2.3770075 48.8532743)
48.8532065,2.375077,3,,,,,POINT (2.375077 48.8532065)
48.8825102,2.3692103,3,traffic_signals,,,,POINT (2.3692103 48.8825102)
48.8718957,2.3645298,3,,,,,POINT (2.3645298 48.8718957)
48.8697616,2.3661837,3,,,,,POINT (2.3661837 48.8697616)
48.8193334,2.3619725,4,,,,,POINT (2.3619725 48.8193334)
48.820154,2.36463,4,,,,,POINT (2.36463 48.820154)
48.8261491,2.3127519,4,,,,,POINT (2.3127519 48.8261491)
48.8277487,2.3054972,4,,,,,POINT (2.3054972 48.8277487)
48.8286407,2.3014298,4,traffic_signals,,,,POINT (2.3014298 48.8286407)
48.8309442,2.2924987,3,,,,,POINT (2.2924987 48.8309442)
48.8326932,2.2883604,3,,,,,POINT (2.2883604 48.8326932)
48.8354165,2.2810656,4,,,,,POINT (2.2810656 48.8354165)
48.8387717,2.2697526,4,,,,,POINT (2.2697526 48.8387717)
48.8453547,2.2575733,4,,,,,POINT (2.2575733 48.8453547)
48.8596337,2.2661315,3,,,,,POINT (2.2661315 48.8596337)
48.8668753,2.271815,3,traffic_signals,,,,POINT (2.271815 48.8668753)
48.8717066,2.2756581,3,,,,,POINT (2.2756581 48.8717066)
