osmid,y,x,street_count,highway,ref,junction,railway,geometry
5503367564,47.4846662,19.1430727,3,,,,,POINT (19.1430727 47.4846662)
5503399854,47.5274873,19.0116598,1,,,,,POINT (19.0116598 47.5274873)
5503523476,47.5247689,19.0174661,3,,,,,POINT (19.0174661 47.5247689)
5503613004,47.4714524,19.002426,3,,,,,POINT (19.002426 47.4714524)
5503613006,47.4713255,19.0023592,1,,,,,POINT (19.0023592 47.4713255)
5514197443,47.46951,19.2375577,3,,,,,POINT (19.2375577 47.46951)
5514197448,47.4698798,19.237391,3,,,,,POINT (19.237391 47.4698798)
5516285349,47.5207298,19.1076104,3,,,,,POINT (19.1076104 47.5207298)
5520036012,47.4418086,19.0751103,3,,,,,POINT (19.0751103 47.4418086)
5520036013,47.4419325,19.0751104,3,,,,,POINT (19.0751104 47.4419325)
5520049305,47.4385513,19.0702991,1,,,,,POINT (19.0702991 47.4385513)
5528857255,47.5015265,19.0243901,4,,,,,POINT (19.0243901 47.5015265)
5531110755,47.3871234,19.1077035,3,,,,,POINT (19.1077035 47.3871234)
5533814637,47.479813,19.0716173,4,,,,,POINT (19.0716173 47.479813)
5533814639,47.4783092,19.0739548,3,,,,,POINT (19.0739548 47.4783092)
5533814640,47.4778209,19.0747322,4,,,,,POINT (19.0747322 47.4778209)
5533814643,47.4770874,19.0758988,4,,,,,POINT (19.0758988 47.4770874)
5533814647,47.4790928,19.0727075,4,,,,,POINT (19.0727075 47.4790928)
5533814648,47.476427,19.076916,3,,,,,POINT (19.076916 47.476427)
5537606255,47.3796638,19.1049996,3,,,,,POINT (19.1049996 47.3796638)
5549998651,47.5402775,18.9353878,1,,,,,POINT (18.9353878 47.5402775)
5550609184,47.473034,19.0276918,3,,,,,POINT (19.0276918 47.473034)
5550719061,47.4144525,19.2088854,4,,,,,POINT (19.2088854 47.4144525)
5550774905,47.4231678,19.2206369,3,,,,,POINT (19.2206369 47.4231678)
5554971990,47.4288838,19.2269013,3,,,,,POINT (19.2269013 47.4288838)
5554997336,47.4379116,19.2165309,4,,,,,POINT (19.2165309 47.4379116)
5575773417,47.4533904,19.1684123,1,,,,,POINT (19.1684123 47.4533904)
5578589784,47.4761612,19.0973463,3,,,,,POINT (19.0973463 47.4761612)
5581274155,47.4028476,19.0126349,3,,,,,POINT (19.0126349 47.4028476)
5581274156,47.402514,19.012526,3,,,,,POINT (19.012526 47.402514)
