osmid,y,x,street_count,highway,ref,junction,railway,geometry
9350529921,41.4344325,2.1658019,2,,,,,POINT (2.1658019 41.4344325)
9350842927,41.4354238,2.164895,3,,,,,POINT (2.164895 41.4354238)
9350842938,41.4354655,2.1649005,3,,,,,POINT (2.1649005 41.4354655)
9378519453,41.4668097,2.1846841,2,,,,,POINT (2.1846841 41.4668097)
9384151535,41.4638427,2.1858246,3,,,,,POINT (2.1858246 41.4638427)
9384151536,41.4639483,2.1855687,3,,,,,POINT (2.1855687 41.4639483)
9384151537,41.4637557,2.1856725,3,,,,,POINT (2.1856725 41.4637557)
9384151540,41.4639296,2.1859613,3,,,,,POINT (2.1859613 41.4639296)
9384151545,41.4640244,2.1860448,3,,,,,POINT (2.1860448 41.4640244)
9388663514,41.4225301,2.1918142,4,,,,,POINT (2.1918142 41.4225301)
9408480017,41.4104136,2.1564603,3,,,,,POINT (2.1564603 41.4104136)
9416544617,41.430292,2.1475898,3,,,,,POINT (2.1475898 41.430292)
9420716633,41.4125634,2.1431021,3,,,,,POINT (2.1431021 41.4125634)
9421288088,41.3586846,2.1664518,3,,,,,POINT (2.1664518 41.3586846)
9421288093,41.3592911,2.166329,3,,,,,POINT (2.166329 41.3592911)
9423672135,41.3517474,2.1585927,1,,,,,POINT (2.1585927 41.3517474)
9425002695,41.352134,2.1566245,4,,,,,POINT (2.1566245 41.352134)
9425332499,41.3527614,2.1579531,1,,,,,POINT (2.1579531 41.3527614)
9425332500,41.3534954,2.1587799,1,,,,,POINT (2.1587799 41.3534954)
9425413586,41.3731399,2.177,3,,,,,POINT (2.177 41.3731399)
9425413590,41.3734636,2.1767242,3,,,,,POINT (2.1767242 41.3734636)
9425413606,41.3730398,2.1764495,3,,,,,POINT (2.1764495 41.3730398)
9425413610,41.3731331,2.1767621,4,,,,,POINT (2.1767621 41.3731331)
9425413611,41.3731077,2.1766042,4,,,,,POINT (2.1766042 41.3731077)
9429582924,41.3430614,2.1402445,3,,,,,POINT (2.1402445 41.3430614)
9429582929,41.3428442,2.140843,3,,,,,POINT (2.140843 41.3428442)
9429582930,41.3426648,2.1413504,3,,,,,POINT (2.1413504 41.3426648)
9429582953,41.3434589,2.1388336,3,,,,,POINT (2.1388336 41.3434589)
9429582959,41.3436191,2.1389425,3,,,,,POINT (2.1389425 41.3436191)
9429582962,41.3433531,2.1391647,3,,,,,POINT (2.1391647 41.3433531)
9429582963,41.3435278,2.1392411,3,,,,,POINT (2.1392411 41.3435278)
9429582992,41.3436971,2.1384755,3,,,,,POINT (2.1384755 41.3436971)
9433723474,41.399918,2.187025,4,,,,,POINT (2.187025 41.399918)
9436508648,41.4310701,2.2006627,3,,,,,POINT (2.2006627 41.4310701)
9438259030,41.4370161,2.1881077,2,,,,,POINT (2.1881077 41.4370161)
9441752649,41.3237018,2.1320763,3,,,,,POINT (2.1320763 41.3237018)
9441752654,41.3237181,2.1329281,3,,,,,POINT (2.1329281 41.3237181)
9442009768,41.3414763,2.1438601,3,,,,,POINT (2.1438601 41.3414763)
9442064201,41.3425554,2.1415788,3,,,,,POINT (2.1415788 41.3425554)
9444230734,41.3351971,2.1395574,3,,,,,POINT (2.1395574 41.3351971)
9444287955,41.3358148,2.1298716,3,,,,,POINT (2.1298716 41.3358148)
9444642712,41.3398262,2.126744,1,,,,,POINT (2.126744 41.3398262)
9445929962,41.4526087,2.1865887,3,,,,,POINT (2.1865887 41.4526087)
9446689097,41.3309109,2.129723,3,,,,,POINT (2.129723 41.3309109)
9446689099,41.3311216,2.1291783,3,,,,,POINT (2.1291783 41.3311216)
9446738720,41.3309927,2.1296272,4,,,,,POINT (2.1296272 41.3309927)
9446738721,41.3311145,2.1292866,4,,,,,POINT (2.1292866 41.3311145)
9447318560,41.3300881,2.1317383,4,,,,,POINT (2.1317383 41.3300881)
9447318561,41.3300941,2.1317587,4,,,,,POINT (2.1317587 41.3300941)
9447318562,41.3301019,2.1317362,4,,,,,POINT (2.1317362 41.3301019)
