osmid,y,x,street_count,highway,ref,railway,geometry
26730627,39.6073314,2.6555828,3,,,,POINT (2.6555828 39.6073314)
26730629,39.6081061,2.6556903,3,,,,POINT (2.6556903 39.6081061)
26730630,39.6077068,2.6553583,3,,,,POINT (2.6553583 39.6077068)
26730631,39.6073791,2.655103,3,,,,POINT (2.655103 39.6073791)
26730636,39.6159915,2.6599129,3,,,,POINT (2.6599129 39.6159915)
26730644,39.6357317,2.6651924,3,,,,POINT (2.6651924 39.6357317)
26731326,39.5645234,2.6801006,3,,,,POINT (2.6801006 39.5645234)
26731344,39.5662672,2.6765236,3,,,,POINT (2.6765236 39.5662672)
26731346,39.5678685,2.6771047,3,,,,POINT (2.6771047 39.5678685)
26731353,39.5662814,2.6766392,3,,,,POINT (2.6766392 39.5662814)
26731366,39.5418601,2.7098644,3,motorway_junction,7A,,POINT (2.7098644 39.5418601)
26731369,39.5414045,2.7116996,3,,,,POINT (2.7116996 39.5414045)
26731376,39.5428416,2.7102803,3,,,,POINT (2.7102803 39.5428416)
26731379,39.5489336,2.7292,3,,,,POINT (2.7292 39.5489336)
26731381,39.547159,2.7251269,3,,,,POINT (2.7251269 39.547159)
26731383,39.5209513,2.7583472,3,,,,POINT (2.7583472 39.5209513)
26731389,39.5084441,2.7549792,3,,,,POINT (2.7549792 39.5084441)
26731391,39.5074504,2.753107,4,,,,POINT (2.753107 39.5074504)
26731393,39.5042708,2.7532687,4,,,,POINT (2.7532687 39.5042708)
26731396,39.5042224,2.7521842,4,,,,POINT (2.7521842 39.5042224)
26731400,39.5070932,2.7541024,4,,,,POINT (2.7541024 39.5070932)
30747656,39.5182855,2.7608472,3,,,,POINT (2.7608472 39.5182855)
30757049,39.5771747,2.64736,4,,,,POINT (2.64736 39.5771747)
30757050,39.5775426,2.6472099,3,,,,POINT (2.6472099 39.5775426)
30757060,39.5799989,2.6523207,4,,,,POINT (2.6523207 39.5799989)
30757077,39.585945,2.6648151,4,,,,POINT (2.6648151 39.585945)
30757079,39.5858362,2.6625914,3,,,,POINT (2.6625914 39.5858362)
30757081,39.5866024,2.6483959,4,,,,POINT (2.6483959 39.5866024)
30757084,39.5854417,2.648775,4,,,,POINT (2.648775 39.5854417)
30757087,39.5849639,2.646201,4,,,,POINT (2.646201 39.5849639)
30757088,39.5804539,2.6475725,4,,,,POINT (2.6475725 39.5804539)
30757089,39.5793467,2.6464718,3,,,,POINT (2.6464718 39.5793467)
30757090,39.5807548,2.6458473,3,,,,POINT (2.6458473 39.5807548)
30757103,39.5769121,2.6685271,3,,,,POINT (2.6685271 39.5769121)
30757104,39.5767964,2.669013,3,,,,POINT (2.669013 39.5767964)
30757105,39.576414,2.668826,3,,,,POINT (2.668826 39.576414)
30757106,39.5764288,2.6685251,3,,,,POINT (2.6685251 39.5764288)
30757108,39.5713097,2.6707303,3,,,,POINT (2.6707303 39.5713097)
30757109,39.5712919,2.6655887,4,,,,POINT (2.6655887 39.5712919)
30757110,39.587823,2.6502875,4,traffic_signals,,,POINT (2.6502875 39.587823)
30757111,39.588216,2.6529409,3,,,,POINT (2.6529409 39.588216)
30757112,39.5885292,2.6530939,3,,,,POINT (2.6530939 39.5885292)
30757113,39.5886082,2.6535831,3,,,,POINT (2.6535831 39.5886082)
30757114,39.5881312,2.6532089,3,,,,POINT (2.6532089 39.5881312)
30757516,39.5890573,2.634884,3,,,,POINT (2.634884 39.5890573)
30757527,39.5860467,2.6408418,3,,,,POINT (2.6408418 39.5860467)
36502766,39.5061789,2.7515361,3,,,,POINT (2.7515361 39.5061789)
36502770,39.5091206,2.7531351,4,,,,POINT (2.7531351 39.5091206)
36502776,39.5086161,2.7515129,4,,,,POINT (2.7515129 39.5086161)
36502778,39.5081584,2.7517581,4,,,,POINT (2.7517581 39.5081584)
36502784,39.5098957,2.7536605,4,,,,POINT (2.7536605 39.5098957)
36502786,39.510581,2.75413,3,,,,POINT (2.75413 39.510581)
36502787,39.5101623,2.7551547,3,,,,POINT (2.7551547 39.5101623)
36502789,39.5093732,2.7550531,1,,,,POINT (2.7550531 39.5093732)
36502799,39.5090996,2.7512528,3,,,,POINT (2.7512528 39.5090996)
36502800,39.5078759,2.7519212,3,,,,POINT (2.7519212 39.5078759)
36502805,39.50621,2.7524236,4,,,,POINT (2.7524236 39.50621)
36502809,39.512379,2.7479984,3,,,,POINT (2.7479984 39.512379)
36502814,39.5139618,2.7512873,4,traffic_signals,,,POINT (2.7512873 39.5139618)
36502815,39.5159502,2.7499128,3,,,,POINT (2.7499128 39.5159502)
36502818,39.51478,2.7474054,3,,,,POINT (2.7474054 39.51478)
