osmid,y,x,street_count,highway,ref,junction,railway,geometry
270737261,52.5323645,13.3285172,3,,,,,POINT (13.3285172 52.5323645)
270747732,52.4268933,13.3440333,1,turning_circle,,,,POINT (13.3440333 52.4268933)
270748139,52.4261444,13.3447923,4,,,,,POINT (13.3447923 52.4261444)
270748492,52.4249597,13.3434355,1,turning_circle,,,,POINT (13.3434355 52.4249597)
270750503,52.4545809,13.4414555,3,,,,,POINT (13.4414555 52.4545809)
270790604,52.5653534,13.3225414,3,,,,,POINT (13.3225414 52.5653534)
270790605,52.5654287,13.3225866,3,,,,,POINT (13.3225866 52.5654287)
270797406,52.4917773,13.4919636,4,,,,,POINT (13.4919636 52.4917773)
270797408,52.4918497,13.4921596,3,,,,,POINT (13.4921596 52.4918497)
270877937,52.4964023,13.3869725,3,,,,,POINT (13.3869725 52.4964023)
270885427,52.5689419,13.572447,3,,,,,POINT (13.572447 52.5689419)
270918969,52.5427261,13.1677886,1,,,,,POINT (13.1677886 52.5427261)
270921849,52.5806544,13.3960206,4,,,,,POINT (13.3960206 52.5806544)
270921851,52.5800082,13.3974457,3,,,,,POINT (13.3974457 52.5800082)
270921854,52.5829973,13.3918478,3,,,,,POINT (13.3918478 52.5829973)
270921855,52.5821918,13.3926713,4,,,,,POINT (13.3926713 52.5821918)
270921858,52.5813404,13.3945118,3,,,,,POINT (13.3945118 52.5813404)
270967329,52.5452987,13.3704572,4,,,,,POINT (13.3704572 52.5452987)
270967330,52.545262,13.3706465,3,,,,,POINT (13.3706465 52.545262)
270967331,52.5446943,13.3700805,3,,,,,POINT (13.3700805 52.5446943)
270967748,52.4664663,13.5685235,3,,,,,POINT (13.5685235 52.4664663)
270967750,52.4651503,13.5663905,1,,,,,POINT (13.5663905 52.4651503)
270975461,52.4608271,13.5037146,4,,,,,POINT (13.5037146 52.4608271)
271030233,52.5218121,13.3866737,3,,,,,POINT (13.3866737 52.5218121)
271168847,52.4932634,13.388071,3,,,,,POINT (13.388071 52.4932634)
271184703,52.4858837,13.2969237,3,,,,,POINT (13.2969237 52.4858837)
271188388,52.4366767,13.3453286,3,,,,,POINT (13.3453286 52.4366767)
271188390,52.4363518,13.3457535,4,,,,,POINT (13.3457535 52.4363518)
271188391,52.4362744,13.3458627,4,,,,,POINT (13.3458627 52.4362744)
271188413,52.4357048,13.3468428,3,,,,,POINT (13.3468428 52.4357048)
271188885,52.4464325,13.3325402,3,,,,,POINT (13.3325402 52.4464325)
271190273,52.4786595,13.3094554,3,,,,,POINT (13.3094554 52.4786595)
271220397,52.4323201,13.3478737,3,,,,,POINT (13.3478737 52.4323201)
271241716,52.4695449,13.3060308,3,,,,,POINT (13.3060308 52.4695449)
271245587,52.4730574,13.3283985,3,,,,,POINT (13.3283985 52.4730574)
271245825,52.5385309,13.3267037,3,,,,,POINT (13.3267037 52.5385309)
271246004,52.4733963,13.328587,4,,,,,POINT (13.328587 52.4733963)
271246005,52.4733928,13.3283359,4,,,,,POINT (13.3283359 52.4733928)
271246260,52.469756,13.3315088,2,give_way,,,,POINT (13.3315088 52.469756)
271246589,52.4680435,13.3350748,4,,,,,POINT (13.3350748 52.4680435)
271301251,52.4841924,13.5759343,4,,,,,POINT (13.5759343 52.4841924)
271301276,52.4818353,13.5774569,3,,,,,POINT (13.5774569 52.4818353)
271301351,52.4817322,13.5755828,4,,,,,POINT (13.5755828 52.4817322)
271301353,52.4816847,13.5748657,1,,,,,POINT (13.5748657 52.4816847)
271330234,52.5368142,13.2063347,3,,,,,POINT (13.2063347 52.5368142)
271330240,52.5374806,13.2071305,1,,,,,POINT (13.2071305 52.5374806)
271370539,52.5668798,13.3466381,3,,,,,POINT (13.3466381 52.5668798)
271378138,52.5413263,13.1946489,3,,,,,POINT (13.1946489 52.5413263)
271378139,52.5408139,13.1935661,1,turning_circle,,,,POINT (13.1935661 52.5408139)
271385764,52.4757857,13.5331301,3,,,,,POINT (13.5331301 52.4757857)
271385765,52.4766194,13.5313159,3,,,,,POINT (13.5313159 52.4766194)
271385766,52.4770653,13.5303457,3,,,,,POINT (13.5303457 52.4770653)
271385776,52.4761904,13.5322495,3,,,,,POINT (13.5322495 52.4761904)
271385799,52.5362709,13.2066279,3,,,,,POINT (13.2066279 52.5362709)
271400982,52.5186987,13.4526315,3,,,,,POINT (13.4526315 52.5186987)
271623677,52.4961739,13.3886371,3,,,,,POINT (13.3886371 52.4961739)
271643954,52.5059848,13.3518559,3,,,,,POINT (13.3518559 52.5059848)
271649075,52.5357173,13.3630142,3,,,,,POINT (13.3630142 52.5357173)
271657117,52.600865,13.2927663,3,,,,,POINT (13.2927663 52.600865)
271738441,52.5078484,13.4748845,3,,,,,POINT (13.4748845 52.5078484)
271738445,52.5091222,13.4773239,1,,,,,POINT (13.4773239 52.5091222)
