y,x,street_count,highway,railway,ref,junction,geometry
41.9081361,12.4892955,4,,,,,POINT (12.4892955 41.9081361)
41.9091524,12.4885391,3,,,,,POINT (12.4885391 41.9091524)
41.9093843,12.4885886,4,,,,,POINT (12.4885886 41.9093843)
41.9096557,12.4899476,3,,,,,POINT (12.4899476 41.9096557)
41.9053618,12.4476482,4,,,,,POINT (12.4476482 41.9053618)
41.9033875,12.4441405,4,,,,,POINT (12.4441405 41.9033875)
41.8985816,12.4277252,4,,,,,POINT (12.4277252 41.8985816)
41.8919983,12.4677471,4,,,,,POINT (12.4677471 41.8919983)
41.8910027,12.4683065,3,,,,,POINT (12.4683065 41.8910027)
41.8901893,12.4689986,3,,,,,POINT (12.4689986 41.8901893)
41.8897431,12.4691963,3,,,,,POINT (12.4691963 41.8897431)
41.8902775,12.4747734,3,,,,,POINT (12.4747734 41.8902775)
41.8894275,12.4746595,1,,,,,POINT (12.4746595 41.8894275)
41.8893139,12.4759117,3,,,,,POINT (12.4759117 41.8893139)
41.8939179,12.475237,3,,,,,POINT (12.475237 41.8939179)
41.8879394,12.4703803,3,,,,,POINT (12.4703803 41.8879394)
41.8880191,12.4811755,4,,,,,POINT (12.4811755 41.8880191)
41.8908602,12.4779777,1,,,,,POINT (12.4779777 41.8908602)
41.8913436,12.4785456,3,,,,,POINT (12.4785456 41.8913436)
41.8918221,12.4755279,3,,,,,POINT (12.4755279 41.8918221)
41.8906622,12.479418,3,,,,,POINT (12.479418 41.8906622)
41.8895083,12.4801859,3,,,,,POINT (12.4801859 41.8895083)
41.8897378,12.476658,4,,,,,POINT (12.476658 41.8897378)
41.8882907,12.4748794,4,,,,,POINT (12.4748794 41.8882907)
41.8888976,12.4755381,4,,,,,POINT (12.4755381 41.8888976)
41.8908966,12.4805457,5,traffic_signals,,,,POINT (12.4805457 41.8908966)
41.8881857,12.4832606,4,,,,,POINT (12.4832606 41.8881857)
41.8996171,12.4828423,4,,,,,POINT (12.4828423 41.8996171)
41.9065435,12.4812079,3,,,,,POINT (12.4812079 41.9065435)
41.8894198,12.4775902,4,,,,,POINT (12.4775902 41.8894198)
41.9034322,12.4881602,5,,,,,POINT (12.4881602 41.9034322)
41.9007843,12.386577,4,,,,,POINT (12.386577 41.9007843)
41.8988933,12.3885397,1,,,,,POINT (12.3885397 41.8988933)
41.7420683,12.4319278,3,,,,,POINT (12.4319278 41.7420683)
41.7430216,12.4324848,3,,,,,POINT (12.4324848 41.7430216)
41.7647675,12.4381998,3,motorway_junction,,,,POINT (12.4381998 41.7647675)
41.8039427,12.4546681,3,,,,,POINT (12.4546681 41.8039427)
41.8060045,12.4557316,3,,,,,POINT (12.4557316 41.8060045)
41.8364561,12.4724413,3,,,,,POINT (12.4724413 41.8364561)
41.8673458,12.4945076,3,,,,,POINT (12.4945076 41.8673458)
41.8686244,12.4904617,3,,,,,POINT (12.4904617 41.8686244)
41.8014722,12.4538674,3,motorway_junction,,,,POINT (12.4538674 41.8014722)
41.8008339,12.4544454,3,,,,,POINT (12.4544454 41.8008339)
41.8106019,12.4023065,3,,,,,POINT (12.4023065 41.8106019)
41.8795541,12.3803881,3,motorway_junction,,1,,POINT (12.3803881 41.8795541)
41.910545,12.3853204,3,motorway_junction,,2,,POINT (12.3853204 41.910545)
41.9137028,12.387454,3,,,,,POINT (12.387454 41.9137028)
41.9139703,12.3884087,3,,,,,POINT (12.3884087 41.9139703)
