osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,junction,width,bridge,tunnel,access,ref
"[722476382, 32004189, 1295716614]",secondary,2,50,"[""Avenue de l'Hippodrome"", 'Route des Lacs à Passy']",False,True,350.4663853913993,"LINESTRING (2.2559777 48.8583101, 2.2567287 48.8583995, 2.2567661 48.858404, 2.2571438 48.858446, 2.2574304 48.8584718, 2.257742 48.8584794, 2.2580938 48.858466, 2.2581606 48.8584616, 2.2587348 48.8584234, 2.2587838 48.858422, 2.258932 48.8584182, 2.2595226 48.8584218, 2.2595694 48.858422, 2.2601447 48.8584174, 2.26074 48.8583772)",,,,,,
4430602,unclassified,2,30,Route des Tribunes,True,False,53.8480665949948,"LINESTRING (2.232598 48.8637304, 2.2332908 48.8638941)",,,,,,
"[810202377, 31823690]",unclassified,3,30,Route des Tribunes,False,True,203.41518215580487,"LINESTRING (2.232598 48.8637304, 2.2324708 48.8636774, 2.232058 48.863484, 2.2317573 48.8633219, 2.2314888 48.8631456, 2.2309567 48.8627174, 2.2306891 48.862439, 2.2306833 48.8624307)",,,,,,
4430593,secondary,2,50,Route de Sèvres à Neuilly,True,False,27.747339288574373,"LINESTRING (2.2383105 48.8622922, 2.238358 48.8623729, 2.2384318 48.8625285)",,,,,,
"[755492101, 968863575, 810202375]",secondary,"['3', '2']",50,Avenue de l'Hippodrome,False,True,638.2969926063371,"LINESTRING (2.2383105 48.8622922, 2.2384552 48.8621772, 2.2384977 48.8621429, 2.2385608 48.8620902, 2.2387662 48.8619295, 2.2388777 48.8618538, 2.2408121 48.8605416, 2.2423694 48.8596333, 2.2433899 48.8591301, 2.2442094 48.8587923, 2.2447382 48.8586123, 2.2448738 48.8585667)",,,,,,
1000505843,unclassified,,30,Route de Sèvres à Neuilly,False,True,33.58408916554865,"LINESTRING (2.2383105 48.8622922, 2.2382467 48.8622076, 2.2382228 48.8621728, 2.2382093 48.8621585, 2.2381054 48.8620221)",,,,,,
4039212,primary,2,30,Boulevard Morland,True,False,101.61403810870988,"LINESTRING (2.3655296 48.8474723, 2.3653966 48.8475483, 2.3653582 48.8475691, 2.3652148 48.8476649, 2.3651058 48.8477756, 2.3649623 48.8481371, 2.3649113 48.8482577)",,,,,,
"[22956648, 22956670, 22956671]",primary,"['3', '4']",30,Pont Morland,False,False,126.1634123463582,"LINESTRING (2.3655296 48.8474723, 2.3658142 48.8472526, 2.3661776 48.8469741, 2.3664356 48.8467715, 2.3666168 48.8465932)",,,yes,,,
1330498754,secondary,2,50,Voie Mazas,True,False,24.35105547808198,"LINESTRING (2.3655296 48.8474723, 2.365441 48.8474296, 2.3653495 48.8473945, 2.3652706 48.8473376)",,,,,,
4527593,residential,,30,Rue Bassompierre,True,False,62.15424642982413,"LINESTRING (2.3672854 48.8508902, 2.3671569 48.850916, 2.3665383 48.8510402, 2.3664729 48.8510533)",,,,,,
56104231,secondary,2,30,Boulevard Bourdon,True,False,181.11603162622592,"LINESTRING (2.3672854 48.8508902, 2.3672615 48.8508388, 2.3666091 48.8494383, 2.3665903 48.8493979, 2.36656 48.8493329)",,,,,,
"[45180810, 1164286366]",secondary,2,30,Boulevard de la Bastille,True,False,146.33874715340056,"LINESTRING (2.3679988 48.8487894, 2.3681012 48.8490125, 2.3682517 48.8493437, 2.3685676 48.8500511)",,,,,,
2114249,secondary,2,30,Rue Monge,True,False,31.690060009956056,"LINESTRING (2.3507157 48.8385973, 2.3507282 48.8386615, 2.3507696 48.8387489, 2.3508181 48.8388736)",,,,,,
