osmid,highway,lanes,maxspeed,name,ref,oneway,reversed,length,geometry,junction,bridge,width,access,tunnel
43858352,residential,,,Carrer de Berlín,,True,False,59.321690622697325,"LINESTRING (2.7531901 39.505256, 2.7525 39.5052228)",,,,,
473378223,residential,,,Carrer de Cannes,,True,False,55.078676121850606,"LINESTRING (2.7531901 39.505256, 2.7532295 39.5047616)",,,,,
43858351,residential,,,plaça dels Nins,,True,False,39.83850262122947,"LINESTRING (2.7540484 39.5050987, 2.7542367 39.5051067, 2.7542705 39.5051357, 2.7542606 39.5053093)",,,,,
473347590,tertiary,,,Carretera Militar,Ma-6011,True,False,45.63034404981269,"LINESTRING (2.7540484 39.5050987, 2.7540135 39.5052967, 2.7539775 39.5055054)",,,,,
43858352,residential,,,Carrer de Berlín,,True,False,37.71104150183723,"LINESTRING (2.7536288 39.5052771, 2.7531901 39.505256)",,,,,
43858351,residential,,,plaça dels Nins,,True,False,56.77894930386582,"LINESTRING (2.7536288 39.5052771, 2.7536426 39.5050804, 2.7540484 39.5050987)",,,,,
43858351,residential,,,plaça dels Nins,,True,False,46.17085957007515,"LINESTRING (2.7542606 39.5053093, 2.7542475 39.5055157, 2.7539775 39.5055054)",,,,,
473347590,tertiary,,,Carretera Militar,Ma-6011,True,False,31.71401574879926,"LINESTRING (2.7539775 39.5055054, 2.7539276 39.505788)",,,,,
43858351,residential,,,plaça dels Nins,,True,False,55.09095007185896,"LINESTRING (2.7539775 39.5055054, 2.7536142 39.5054916, 2.7536288 39.5052771)",,,,,
43858353,residential,,,carrer de Berlín,,True,False,59.923019210200735,"LINESTRING (2.7553995 39.5053552, 2.754702 39.5053271)",,,,,
43858356,residential,,,Carrer de Dido,,True,False,55.078612187577264,"LINESTRING (2.7553995 39.5053552, 2.7553561 39.5058494)",,,,,
93450323,residential,,,Carrer de Berlín,,False,False,114.19628183476736,"LINESTRING (2.7553995 39.5053552, 2.7558701 39.5053733, 2.7567289 39.5054063)",,,,,
29971957,residential,,,carrer H,,False,True,56.18575770563426,"LINESTRING (2.7567289 39.5054063, 2.7566499 39.5049047)",,,,,
29971957,residential,,,carrer H,,False,False,123.18781197977363,"LINESTRING (2.7567289 39.5054063, 2.7568621 39.5062237, 2.7569182 39.5065044)",,,,,
