osmid,y,x,street_count,highway,ref,railway,junction,geometry
39510952,50.0909425,8.6121047,3,,,,,POINT (8.6121047 50.0909425)
39510953,50.0911091,8.6136029,3,,,,,POINT (8.6136029 50.0911091)
39510956,50.0912921,8.6150723,4,,,,,POINT (8.6150723 50.0912921)
39510964,50.0917813,8.6195961,3,,,,,POINT (8.6195961 50.0917813)
39536900,50.1048775,8.6440915,3,,,,,POINT (8.6440915 50.1048775)
39536911,50.1060756,8.6476745,4,,,,,POINT (8.6476745 50.1060756)
39536918,50.1053809,8.6461278,4,,,,,POINT (8.6461278 50.1053809)
39536923,50.1050463,8.6442007,3,,,,,POINT (8.6442007 50.1050463)
39536925,50.1048394,8.6423926,4,,,,,POINT (8.6423926 50.1048394)
39536926,50.1048555,8.6488234,3,,,,,POINT (8.6488234 50.1048555)
39536927,50.1059916,8.647463,3,,,,,POINT (8.647463 50.1059916)
39536928,50.1066322,8.6468721,3,,,,,POINT (8.6468721 50.1066322)
39536933,50.1075496,8.6508117,3,,,,,POINT (8.6508117 50.1075496)
39536935,50.1074762,8.6493097,3,,,,,POINT (8.6493097 50.1074762)
39536942,50.1074952,8.651591,3,,,,,POINT (8.651591 50.1074952)
39677120,50.0975715,8.5268197,3,,,,,POINT (8.5268197 50.0975715)
39677134,50.0969618,8.5235713,3,,,,,POINT (8.5235713 50.0969618)
39751255,50.0962401,8.4829801,4,,,,,POINT (8.4829801 50.0962401)
39751651,50.0977558,8.485633,3,motorway_junction,14,,,POINT (8.485633 50.0977558)
42207761,50.2014157,8.6620004,1,,,,,POINT (8.6620004 50.2014157)
43562835,50.1122258,8.6693322,3,,,,,POINT (8.6693322 50.1122258)
43577869,50.10698,8.6819397,3,,,,,POINT (8.6819397 50.10698)
43577875,50.1055342,8.6840603,4,,,,,POINT (8.6840603 50.1055342)
43577886,50.1068603,8.6853659,4,,,,,POINT (8.6853659 50.1068603)
43582625,50.1072697,8.6834044,3,,,,,POINT (8.6834044 50.1072697)
43582637,50.1069572,8.687146,1,,,,,POINT (8.687146 50.1069572)
43582654,50.1051392,8.6826774,1,,,,,POINT (8.6826774 50.1051392)
43584739,50.1040074,8.6813174,3,,,,,POINT (8.6813174 50.1040074)
43590500,50.106539,8.6871427,3,,,,,POINT (8.6871427 50.106539)
43659860,50.079505,8.5068638,3,,,,,POINT (8.5068638 50.079505)
45221585,50.0945732,8.6692722,3,,,,,POINT (8.6692722 50.0945732)
