osmid,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,junction,ref,width,est_width,tunnel,bridge,service
450275259,secondary_link,,50,Carrer de la Lletra F,False,True,55.65470611539013,"LINESTRING (2.1194798 41.324466, 2.1195415 41.3245713, 2.1195738 41.3246266, 2.119748 41.3249242)",,,,,,,,
901722418,secondary,4,50,Carrer Número 6,False,False,51.73733792263266,"LINESTRING (2.1194798 41.324466, 2.1192364 41.3245455, 2.1191544 41.3245722, 2.1189116 41.3246515)",,,,,,,,
901722419,secondary,4,50,Carrer Número 6,False,True,44.876453139387294,"LINESTRING (2.1194798 41.324466, 2.1197226 41.3243915, 2.1198199 41.3243615, 2.1199772 41.3243132)",,,,,,,,
"[545747633, 22650940]",primary,5,50,Gran Via de les Corts Catalanes,True,False,120.45148968004855,"LINESTRING (2.148548 41.3749125, 2.1485551 41.3748409, 2.1485537 41.3747971, 2.1485454 41.3747634, 2.1485471 41.3747191, 2.1484674 41.3746572, 2.1481234 41.3743877, 2.1480728 41.3743563, 2.1479642 41.3742484, 2.1479477 41.374235, 2.1479345 41.3742243, 2.1477349 41.3740736)",,,C-31,17,,,,
"[887560129, 185961550]",primary,7,50,Plaça d'Espanya,True,False,58.203605194039156,"LINESTRING (2.148548 41.3749125, 2.1485727 41.374854, 2.1486081 41.3747986, 2.1486534 41.3747475, 2.1487081 41.3747, 2.1487701 41.3746618, 2.1488392 41.3746289, 2.1489137 41.3746035, 2.1489739 41.3745899, 2.1490341 41.3745798)",,circular,,28,,,,
18508391,secondary_link,3,50,Ronda del Port,True,False,24.35383121823663,"LINESTRING (2.1762752 41.3733143, 2.1763699 41.3733029, 2.1764392 41.3732823, 2.1765014 41.3732409, 2.1765207 41.3732161)",,,,,,,,
294871189,secondary,4,50,Plaça de les Drassanes,True,False,41.586429631886666,"LINESTRING (2.1762752 41.3733143, 2.1763721 41.3733263, 2.1764555 41.3733467, 2.1765322 41.3733703, 2.1766014 41.3733965, 2.1766604 41.3734257, 2.1767242 41.3734636)",,circular,,14,,,,
"[245672930, 294871188]",secondary,"['3', '4']",50,Plaça de les Drassanes,True,False,50.00693467382874,"LINESTRING (2.1768881 41.3736617, 2.1769191 41.3737282, 2.1769366 41.3738036, 2.1769395 41.3738474, 2.1769389 41.3738609, 2.176936 41.3739294, 2.1769233 41.3739818, 2.1768994 41.374039, 2.1768617 41.374096)",,circular,,9,,,,
450445885,secondary_link,3,50,Moll de Barcelona,True,False,64.6200312086451,"LINESTRING (2.1768881 41.3736617, 2.1769323 41.3737086, 2.1769624 41.3737285, 2.1770022 41.3737431, 2.1770441 41.3737528, 2.1770823 41.3737586, 2.1771212 41.373753, 2.1772824 41.3736939, 2.1773517 41.37366, 2.1773826 41.3736422, 2.1774168 41.3736226, 2.1774462 41.3735993, 2.1774812 41.3735595, 2.1775017 41.3735332)",,,,,,,,
"[20355312, 545937949, 140001534]",secondary,"['6', '4']",50,Plaça de Catalunya,True,False,174.01081103289835,"LINESTRING (2.1701343 41.3857494, 2.1702358 41.3858532, 2.1703254 41.3859449, 2.1708651 41.3865666, 2.1711076 41.3868421, 2.1711329 41.3868709, 2.1711846 41.3869032, 2.1713775 41.3869833)",,,,12,,,,
