osmid,highway,lanes,maxspeed,name,oneway,width,reversed,length,geometry,ref,access,bridge,junction,tunnel,area
31585623,residential,1,30,Strada Oltului,False,,False,224.94835973495572,"LINESTRING (23.633074 46.7780117, 23.6332454 46.7780438, 23.6335981 46.7781099, 23.6336836 46.7781013, 23.6337456 46.7780548, 23.6338475 46.7776985, 23.6338821 46.7776574, 23.6339655 46.7776452, 23.635478 46.7778696)",,,,,,
"[355617520, 31666525]",residential,2,RO:urban,"['Strada Mureșului', 'Strada Streiului']",True,,False,317.5807043469635,"LINESTRING (23.633074 46.7780117, 23.6330429 46.7781324, 23.632978 46.7783387, 23.6329333 46.7784568, 23.6328964 46.7785075, 23.6328673 46.7785465, 23.6328295 46.7785719, 23.6327772 46.7785879, 23.6327122 46.7785921, 23.6326533 46.7785858, 23.6326215 46.7785809, 23.6321924 46.7785151, 23.6316496 46.7784145, 23.6309055 46.7782979, 23.6306803 46.7782778, 23.6304533 46.7782931, 23.6303254 46.7783169, 23.6302321 46.7783343, 23.6300257 46.7783851, 23.6299156 46.7784211, 23.6298266 46.778463, 23.6297485 46.7785078, 23.6296899 46.7785544)",,,,,,
355617521,residential,2,RO:urban,Strada Streiului,False,,False,107.36538961434081,"LINESTRING (23.633074 46.7780117, 23.6331766 46.7777179, 23.6332415 46.777532, 23.6334018 46.7770726)",,,,,,
411086496,residential,1,RO:urban,Strada Jiului,True,,False,55.09176187337793,"LINESTRING (23.635478 46.7778696, 23.6352824 46.7783466)",,,,,,
31585623,residential,1,30,Strada Oltului,False,,True,224.94835973495574,"LINESTRING (23.635478 46.7778696, 23.6339655 46.7776452, 23.6338821 46.7776574, 23.6338475 46.7776985, 23.6337456 46.7780548, 23.6336836 46.7781013, 23.6335981 46.7781099, 23.6332454 46.7780438, 23.633074 46.7780117)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,True,89.7875026419676,"LINESTRING (23.6334018 46.7770726, 23.6322473 46.7769086)",,,,,,
31665901,tertiary,2,RO:urban,Strada Dunării,False,,False,174.1933782718811,"LINESTRING (23.6334018 46.7770726, 23.6338555 46.7771447, 23.6341525 46.7771919, 23.6356282 46.7774322)",,,,,,
355617521,residential,2,RO:urban,Strada Streiului,False,,True,107.3653896143408,"LINESTRING (23.6334018 46.7770726, 23.6332415 46.777532, 23.6331766 46.7777179, 23.633074 46.7780117)",,,,,,
31585345,residential,2,RO:urban,Strada Tulcea,False,,False,73.64373406285793,"LINESTRING (23.632486 46.7762669, 23.6324311 46.7764345, 23.6324116 46.7764832, 23.6323788 46.776569, 23.6322473 46.7769086)",,,,,,
31585345,residential,2,RO:urban,Strada Tulcea,False,,True,30.782664251419032,"LINESTRING (23.632486 46.7762669, 23.6325694 46.7760811, 23.6325978 46.7760377, 23.6326272 46.7760092)",,,,,,
"[466611273, 464713562, 462815611, 31585436]",residential,"['1', '2']",RO:urban,"['Strada Galați', 'Strada Tulcea']",False,,False,317.787255925881,"LINESTRING (23.632486 46.7762669, 23.6319663 46.7761865, 23.6316786 46.7761389, 23.6314061 46.7760904, 23.6311473 46.7760513, 23.6306866 46.7759832, 23.6306102 46.7759746, 23.6305355 46.7759723, 23.630457 46.7759787, 23.6304073 46.7759874, 23.6301918 46.7760363, 23.6298897 46.7760579, 23.6297362 46.7760477, 23.6290762 46.7759183, 23.6288926 46.7758811, 23.6286523 46.7758347, 23.6284729 46.7757998, 23.6284294 46.7757927)",,,,,,
466611274,residential,2,RO:urban,Strada Galați,False,,False,54.96012118499957,"LINESTRING (23.6279255 46.7757236, 23.6278674 46.775881, 23.6277847 46.7761516, 23.6277558 46.7762034)",,,,,,
"[466611274, 462815611]",residential,2,RO:urban,Strada Galați,False,,True,39.15856767504875,"LINESTRING (23.6279255 46.7757236, 23.6280502 46.7757356, 23.6281848 46.7757545, 23.6283154 46.7757742, 23.6284294 46.7757927)",,,,,,
