osmid,y,x,highway,street_count,ref,junction,geometry
305397373,40.4108253,-3.7348024,,3,,,POINT (-3.7348024 40.4108253)
305397377,40.4105918,-3.7354511,,4,,,POINT (-3.7354511 40.4105918)
305397380,40.4077897,-3.7308475,,3,,,POINT (-3.7308475 40.4077897)
305397383,40.4084176,-3.7301657,,4,,,POINT (-3.7301657 40.4084176)
305397386,40.4084706,-3.7307485,,4,,,POINT (-3.7307485 40.4084706)
305397389,40.4085122,-3.7313373,,4,,,POINT (-3.7313373 40.4085122)
305397391,40.4085441,-3.7317849,,4,,,POINT (-3.7317849 40.4085441)
305397396,40.4085643,-3.7322933,,4,,,POINT (-3.7322933 40.4085643)
305397399,40.4086012,-3.7327183,,3,,,POINT (-3.7327183 40.4086012)
305397402,40.4086342,-3.7331476,,4,,,POINT (-3.7331476 40.4086342)
305397415,40.4064641,-3.7312921,,3,,,POINT (-3.7312921 40.4064641)
305397418,40.4067441,-3.7309244,,3,,,POINT (-3.7309244 40.4067441)
305397421,40.4074991,-3.7334585,,3,,,POINT (-3.7334585 40.4074991)
305397424,40.4069891,-3.7317731,,4,,,POINT (-3.7317731 40.4069891)
305397427,40.4071888,-3.7324328,,4,,,POINT (-3.7324328 40.4071888)
305397431,40.4073623,-3.7329954,,4,,,POINT (-3.7329954 40.4073623)
305397433,40.4077385,-3.7335938,,3,,,POINT (-3.7335938 40.4077385)
305397439,40.4069997,-3.7353867,,3,,,POINT (-3.7353867 40.4069997)
305397442,40.4081836,-3.7343196,,3,,,POINT (-3.7343196 40.4081836)
305397447,40.4079256,-3.7339914,,1,,,POINT (-3.7339914 40.4079256)
305397451,40.4076704,-3.7338857,,3,,,POINT (-3.7338857 40.4076704)
305397454,40.4075888,-3.7342239,,3,,,POINT (-3.7342239 40.4075888)
305397458,40.4056105,-3.7340881,,4,,,POINT (-3.7340881 40.4056105)
305397461,40.4074335,-3.7349055,,3,,,POINT (-3.7349055 40.4074335)
305397465,40.4057189,-3.7349129,,1,,,POINT (-3.7349129 40.4057189)
305397468,40.4061703,-3.7341751,,4,,,POINT (-3.7341751 40.4061703)
305397473,40.4063817,-3.7332411,,3,,,POINT (-3.7332411 40.4063817)
305397484,40.40705,-3.7342117,,4,,,POINT (-3.7342117 40.40705)
